BYLINE,DATE,DATELINE,HEADLINE,LENGTH,PUBLICATION,SECTION,TITLE,SUBJECT
,"August 30, 2016 Tuesday",,Film Studio Is a Success,213 words,The New York Times,Section A; Column 0; Editorial Desk; LETTER; Pg. 20,,MOVIE INDUSTRY (90%); FILM (90%); MOVIE & VIDEO PRODUCTION (90%); LETTERS & COMMENTS (90%); MOVIE FILMING (78%); EDITORIALS & OPINIONS (74%); WRITERS (73%); RESTAURANTS (70%); HOTELS & MOTELS (54%)
By MARTHA C. WHITE,"August 30, 2016 Tuesday",,Airline to Fliers: 'Make the Best of It',775 words,The New York Times,Section B; Column 0; Business/Financial Desk; ADVERTISING; Pg. 2,,AIRLINES (92%); CIVIL AVIATION (78%); AIRPORTS (78%); AIRLINE EMPLOYEES (78%); MANNERS & ETIQUETTE (75%); AIR TRAFFIC CONTROL (73%); MARKETING & ADVERTISING (72%); WIRELESS INTERNET ACCESS (71%)
By BEN SISARIO,"August 30, 2016 Tuesday",,Frank Ocean Takes Unusual Journey to No. 1,408 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 3,,RECORD RELEASES (90%); CELEBRITIES (90%); MUSIC (89%); RECORD INDUSTRY (89%); ENTERTAINMENT & ARTS (89%); MUSIC INDUSTRY (89%); RECORD PRODUCTION & DISTRIBUTION (89%); MUSIC & SOUND RECORDING INDUSTRY (78%); SINGERS & MUSICIANS (78%); STREAMING MEDIA (77%); OUTPUT & DEMAND (77%); MARKETING & ADVERTISING (77%); RAP MUSIC (76%); ARTISTS & PERFORMERS (76%); HIP HOP CULTURE (71%); BROADCAST ADVERTISING (69%); RADIO ADVERTISING (51%)
By DAVID W. DUNLAP,"August 30, 2016 Tuesday",,"At This U.S. Open, an Ethereal Lid Protects Tennis Stars From the Heavens",972 words,The New York Times,Section A; Column 0; Metropolitan Desk; BUILDING BLOCKS; Pg. 17,,STADIUMS & ARENAS (91%); TENNIS (91%); SPORTS (91%); TENNIS TOURNAMENTS (90%); ENGINEERING (89%); DELAYS & POSTPONEMENTS (78%); CIVIL ENGINEERING (77%); NEW CONSTRUCTION (77%); ARCHITECTURE (77%); INDOOR RECREATIONAL CONSTRUCTION (77%); US LABOR DAY (73%); ARCHITECTURAL SERVICES (73%); MANAGERS & SUPERVISORS (68%); WEATHER (67%); CONSTRUCTION (67%); EXECUTIVES (63%); WRITERS (63%); WETLANDS (60%)
By SIMON ROMERO,"August 30, 2016 Tuesday",,"In Her Impeachment Trial in Brazil, Rousseff Says She Won't Be Silenced",559 words,The New York Times,Section A; Column 0; Foreign Desk; Pg. 6,,IMPEACHMENT (90%); WITNESSES (90%); CRIMINAL CONVICTIONS (90%); DEMOCRACIES (89%); TYPES OF GOVERNMENT (89%); LEGISLATIVE BODIES (89%); COUPS (89%); HEADS OF STATE & GOVERNMENT (89%); GOVERNMENT BUDGETS (78%); ARRESTS (78%); CONSPIRACY (78%); RESIGNATIONS (78%); MILITARY RULE (77%); MARTIAL LAW (77%); CORRUPTION (76%); PROTESTS & DEMONSTRATIONS (76%); BUDGETS (75%); SUPREME COURTS (73%); REBELLIONS & INSURGENCIES (71%); DICTATORSHIPS (69%); BIOGRAPHICAL LITERATURE (60%); ARMED FORCES (50%); PROFILES & BIOGRAPHIES (50%)
By ROGER COHEN. You can follow me on Twitter or join me on Facebook.,"August 30, 2016 Tuesday",,Trump and Britain's Big Disrupter,904 words,The New York Times,Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 21,,US PRESIDENTIAL CANDIDATES 2016 (90%); POLITICS (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); EDITORIALS & OPINIONS (90%); EUROPEAN UNION (89%); BREXIT (89%); VOTERS & VOTING (87%); GLOBALIZATION (70%); POLLS & SURVEYS (69%); LIBERAL MEDIA (67%); EMPLOYMENT GROWTH (66%); US PRESIDENTS (63%)
By DAVID E. SANGER; Fernanda Santos contributed reporting.,"August 30, 2016 Tuesday",,Russian Bid to Affect U.S. Voting Is Suggested,714 words,The New York Times,Section A; Column 0; National Desk; Pg. 15,,VOTERS & VOTING (92%); LEGISLATIVE BODIES (90%); SPECIAL INVESTIGATIVE FORCES (90%); INVESTIGATIONS (90%); CAMPAIGNS & ELECTIONS (90%); US STATE GOVERNMENT (90%); ELECTIONS (89%); POLITICAL PARTIES (89%); CYBERCRIME (89%); INTELLIGENCE SERVICES (89%); COMPUTER CRIME (88%); ELECTION AUTHORITIES (78%); US DEMOCRATIC PARTY (78%); INTERVIEWS (78%); ELECTION FRAUD (76%); COMPUTING & INFORMATION TECHNOLOGY (74%); FORENSICS (73%); US PRESIDENTIAL CANDIDATES 2016 (73%); RESIGNATIONS (72%)
By LESLIE PICKER,"August 30, 2016 Tuesday",,Mondelez Abandons Its Efforts to Combine With Hershey,593 words,The New York Times,Section B; Column 0; Business/Financial Desk; Pg. 3,,TAKEOVERS (90%); NEW ISSUES (90%); SUGAR & CONFECTIONERY MFG (89%); SHAREHOLDERS (89%); AGREEMENTS (89%); TRUST ARRANGEMENTS (89%); CORPORATE GOVERNANCE (76%); EXECUTIVES (74%); SETTLEMENT & COMPROMISE (74%); PRICES (73%); SNACK FOODS (72%); SNACK FOOD INDUSTRY (72%); ATTORNEYS GENERAL (68%); SECURITIES TRADING (67%)
By KEVIN ALLISON,"August 30, 2016 Tuesday",,"Edward Lampert and His White Whale, Sears",413 words,The New York Times,Section ; Column 0; Business/Financial Desk; BREAKINGVIEWS; Pg. ,,RETAILERS (90%); WEALTHY PEOPLE (90%); DISCOUNT & CLUB STORES (90%); HEDGE FUNDS (76%); LITERATURE (73%); WRITERS (73%); INSOLVENCY & BANKRUPTCY (71%); MANAGERS & SUPERVISORS (69%); KIDNAPPING & ABDUCTION (69%); EXECUTIVES (68%); SHAREHOLDERS (66%)
By LESLIE PICKER,"August 30, 2016 Tuesday",,Ansys Inc. Names Chief Executive,340 words,The New York Times,Section ; Column 0; Business/Financial Desk; Pg. ,,EXECUTIVES (94%); APPOINTMENTS (92%); EXECUTIVE MOVES (90%); COMPUTER SOFTWARE (89%); COMPANY STRATEGY (78%); BOARDS OF DIRECTORS (78%); PRODUCT MANAGEMENT (78%); COMPUTER SIMULATION (78%); COMPUTER SCIENCE (78%); WEARABLE TECHNOLOGY (78%); MODELING & SIMULATION (78%); PATENTS (73%); ALLIANCES & PARTNERSHIPS (65%); EMPLOYMENT SERVICES (51%)
By VICTORIA FINKLE,"August 30, 2016 Tuesday",,Congresswoman Asks for Trading Data Collected Under Volcker Rule,638 words,The New York Times,Section B; Column 0; Business/Financial Desk; Pg. 3,,BANKING & FINANCE (90%); US DEMOCRATIC PARTY (90%); US DODD FRANK ACT (90%); LEGISLATIVE BODIES (89%); BANKING & FINANCE AGENCIES (89%); BANKING & FINANCE REGULATION (89%); ECONOMIC CRISIS (78%); 2010 WALL STREET & BANKING REFORM (78%); INVENTORY TURNOVER (76%); BOND MARKETS (73%); CORPORATE BONDS (72%); INVENTORY MANAGEMENT (64%)
By PETER J. HENNING,"August 30, 2016 Tuesday",,Prosecution of Financial Crisis Fraud Ends With a Whimper,1158 words,The New York Times,Section ; Column 0; Business/Financial Desk; WHITE COLLAR WATCH; Pg. ,,SUBPRIME LENDING (92%); SUBPRIME MORTGAGES (91%); MORTGAGE BANKING & FINANCE (91%); CREDIT REGULATION (90%); BANKING & FINANCE (90%); SECURITIES LAW (90%); ECONOMIC CRISIS (90%); FRAUD & FINANCIAL CRIME (90%); SECURITIZATION (90%); EXECUTIVES (89%); BANKING & FINANCE AGENCIES (78%); US FEDERAL GOVERNMENT (75%); PUBLIC FINANCE AGENCIES & TREASURIES (75%); APPELLATE DECISIONS (73%); INSURANCE (69%); TREASURY DEPARTMENTS (68%); LAW COURTS & TRIBUNALS (68%); MORTGAGE LOANS (58%); APPEALS COURTS (53%)
By LESLIE PICKER,"August 30, 2016 Tuesday",,Williams Companies Names New Directors,306 words,The New York Times,Section B; Column 0; Business/Financial Desk; Pg. 3,,EXECUTIVES (93%); BOARD CHANGES (90%); APPOINTMENTS (90%); RESIGNATIONS (90%); ENERGY & UTILITY SECTOR PERFORMANCE (89%); MANAGERS & SUPERVISORS (78%); OIL & GAS PRICES (77%); ENERGY & UTILITY TRADE (75%); TALKS & MEETINGS (73%); PRICES (70%); DECISIONS & RULINGS (67%); SETTLEMENTS & DECISIONS (67%); HEDGE FUNDS (53%); LAW COURTS & TRIBUNALS (50%)
By PATRICK HEALY and MATT FLEGENHEIMER,"August 30, 2016 Tuesday",,Clinton Piles Up Research in Bid to Needle Trump,1517 words,The New York Times,Section A; Column 0; National Desk; Pg. 1,,US PRESIDENTIAL CANDIDATES 2016 (90%); US PRESIDENTIAL CANDIDATES 2008 (90%); POLITICAL DEBATES (89%); CAMPAIGNS & ELECTIONS (77%); PSYCHOLOGY (76%); INTERVIEWS (76%); CONSERVATIVE MEDIA (74%); CONSERVATISM (74%); ETHICS (73%); PRIMARY ELECTIONS (72%); FORENSICS (55%)
By YAMICHE ALCINDOR,"August 30, 2016 Tuesday",,Donald Trump to Press Case With Black Voters in Detroit,498 words,The New York Times,Section ; Column 0; Politics; Pg. ,,VOTERS & VOTING (92%); AFRICAN AMERICANS (90%); US PRESIDENTIAL CANDIDATES 2016 (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); MINORITY GROUPS (89%); HISPANIC AMERICANS (89%); RACE & ETHNICITY (89%); ASSOCIATIONS & ORGANIZATIONS (89%); CHRISTIANS & CHRISTIANITY (88%); CLERGY & RELIGIOUS VOCATIONS (78%); HISTORICALLY BLACK COLLEGES (78%); POLITICAL PARTIES (77%); EXECUTIVES (77%); JOURNALISM (77%); POLLS & SURVEYS (77%); US DEMOCRATIC PARTY (77%); TELEVISION INDUSTRY (72%); LIBERALISM (72%); CITY LIFE (69%); WRITERS (68%); SHOOTINGS (66%); POVERTY & HOMELESSNESS (64%); CITIES (63%)
By ALAN RAPPEPORT,"August 30, 2016 Tuesday",,Donald Trump Is Making Major Ad Buy in Battleground States,308 words,The New York Times,Section ; Column 0; Politics; Pg. ,,MARKETING & ADVERTISING (91%); US PRESIDENTIAL CANDIDATES 2012 (91%); US PRESIDENTIAL CANDIDATES 2008 (91%); ELECTIONS (90%); US PRESIDENTIAL CANDIDATES 2016 (90%); MARKETING CAMPAIGNS (90%); MARKETING & ADVERTISING EXPENDITURE (90%); CAMPAIGNS & ELECTIONS (90%); POLITICAL CANDIDATES (90%); US PRESIDENTIAL ELECTIONS (90%); MEDIA PLANNING & BUYING (89%); HEADS OF GOVERNMENT ELECTIONS (89%); PRIMARY ELECTIONS (78%); BROADCAST ADVERTISING (78%); TAXES & TAXATION (78%); POLITICS (77%); US REPUBLICAN PARTY (76%); CONSERVATISM (76%); INTERNET SOCIAL NETWORKING (74%); TELEVISION ADVERTISING (73%); SOCIAL MEDIA (69%); PRESS CONFERENCES (69%); WAGES & SALARIES (69%); IMMIGRATION (50%)
By MAGGIE HABERMAN,"August 30, 2016 Tuesday",,Trump and Clinton Have Knots to Untangle Before Labor Day,330 words,The New York Times,Section ; Column 0; Politics; Pg. ,,IMMIGRATION (91%); US PRESIDENTIAL CANDIDATES 2016 (90%); US PRESIDENTIAL CANDIDATES 2008 (90%); RACISM & XENOPHOBIA (89%); US LABOR DAY (89%); POLITICAL PARTIES (78%); US PRESIDENTIAL ELECTIONS (78%); INTERNET SOCIAL NETWORKING (76%); CAMPAIGNS & ELECTIONS (73%); POLITICS (73%); ILLEGAL IMMIGRANTS (72%); DEPORTATION (72%); SOCIAL MEDIA (71%); PRIMARY ELECTIONS (68%); HEADS OF GOVERNMENT ELECTIONS (68%)
By JOHN KOBLIN,"August 30, 2016 Tuesday",,Fox Wants Harassment Suit by Host Sent to Arbitration,530 words,The New York Times,Section B; Column 0; Business/Financial Desk; Pg. 4,,SEXUAL HARASSMENT (93%); LITIGATION (91%); SUITS & CLAIMS (90%); TELEVISION PROGRAMMING (90%); LAWYERS (89%); ALTERNATIVE DISPUTE RESOLUTION (89%); LABOR MEDIATION & ARBITRATION (89%); EMPLOYMENT CONTRACTS (88%); SUPREME COURTS (77%); LAW COURTS & TRIBUNALS (77%); DISMISSALS (74%); EXECUTIVES (73%); APPROVALS (73%); AGREEMENTS (71%); BOOK PUBLISHING (66%)
By NIKI KITSANTONIS,"August 30, 2016 Tuesday",,Doubts on Greece's Plan for New Media Licenses,943 words,The New York Times,Section A; Column 0; Foreign Desk; Pg. 10,,TYPES OF GOVERNMENT (90%); DEMOCRACIES (89%); AUCTIONS (89%); FREEDOM OF PRESS (89%); TELEVISION INDUSTRY (89%); BROADCASTING REGULATION (89%); BROADCASTING INDUSTRY (89%); BROADCAST ADVERTISING (78%); MARKETING & ADVERTISING SECTOR PERFORMANCE (78%); LIBERALISM (78%); TELEVISION ADVERTISING (77%); POLITICAL PARTIES (76%); POLITICS (76%); PRIME MINISTERS (76%); HEADS OF STATE & GOVERNMENT (76%); EUROPEAN UNION INSTITUTIONS (76%); FREEDOM OF SPEECH (75%); CORRUPTION (75%); LICENSES & PERMITS (73%); MARKETING & ADVERTISING (73%); CONSTITUTIONAL LAW (71%); CARTELS (50%)
By MARTIN FACKLER,"August 30, 2016 Tuesday",,An Invisible Dike,1825 words,The New York Times,Section D; Column 0; Science Desk; Pg. 1,,POWER PLANTS (90%); MARCH 2011 JAPAN NUCLEAR DISASTER (90%); ELECTRIC POWER PLANTS (90%); NUCLEAR POWER PLANTS (90%); NUCLEAR ENERGY (90%); TSUNAMIS (89%); NATURAL DISASTERS (89%); NUCLEAR FUEL (78%); NUCLEAR ACCIDENTS (78%); POWER FAILURES (78%); DROUGHT (76%); WATER CRISES & SHORTAGES (71%); ACTION & ADVENTURE FILMS (70%); PLANT CONSTRUCTION (58%); ELECTRIC POWER INDUSTRY (50%)
By ANAND GIRIDHARADAS,"August 30, 2016 Tuesday",,When Technology Sets Off a Populist Revolt,702 words,The New York Times,Section ; Column 0; National Desk; LETTER FROM AMERICA; Pg. ,,TECHNICIANS & TECHNOLOGICAL WORKERS (89%); VENTURE CAPITAL (88%); COMPUTING & INFORMATION TECHNOLOGY (78%); POPULATION & DEMOGRAPHICS (76%); UNEMPLOYED PERSONS (75%); IMMIGRATION (72%); DEPORTATION (72%); ENGINEERING (72%); CELEBRITIES (72%); WEALTHY PEOPLE (70%); CIVIL ENGINEERING (67%); SINGERS & MUSICIANS (50%)
By JESS BIDGOOD,"August 30, 2016 Tuesday",,How Controversial Is Maine's Governor? Here's a Partial List,1194 words,The New York Times,Section A; Column 0; National Desk; Pg. 14,,TALKS & MEETINGS (90%); US REPUBLICAN PARTY (90%); POLITICAL PARTIES (90%); US STATE GOVERNMENT (90%); RACE & ETHNICITY (90%); GOVERNORS (90%); LEGISLATIVE BODIES (89%); CIVIL RIGHTS (89%); RACISM & XENOPHOBIA (89%); US DEMOCRATIC PARTY (78%); CONTROLLED SUBSTANCES CRIME (76%); DISEASES & DISORDERS (76%); RACIAL PROFILING (76%); HUMAN RIGHTS ORGANIZATIONS (73%); HEROIN (71%); SUBSTANCE ABUSE (71%); DRUG TRAFFICKING (71%); RESIGNATIONS (70%); MENTAL HEALTH (69%); MENTAL ILLNESS (69%)
By THE ASSOCIATED PRESS,"August 30, 2016 Tuesday",,"Anticipating the End of a Bank Slump, Investors Give Wall Street a Lift",562 words,The New York Times,Section B; Column 0; Business/Financial Desk; Pg. 2,,US FEDERAL GOVERNMENT (92%); STOCK INDEXES (92%); BANKING & FINANCE (90%); ECONOMIC POLICY (90%); ECONOMIC NEWS (90%); INTEREST RATES (90%); BANKING & FINANCE SECTOR PERFORMANCE (89%); STOCK EXCHANGES (89%); MORTGAGE BANKING & FINANCE (79%); ECONOMIC CRISIS (79%); INVESTMENT BANKING (79%); OIL & GAS PRICES (78%); COMPANY PROFITS (77%); CRUDE OIL MARKETS (75%); ENERGY MARKETS (75%); MORTGAGE BANKING (74%); HEATING OIL MARKETS (70%); ENERGY & UTILITY TRADE (69%); TALKS & MEETINGS (69%); HEATING OIL PRICES (68%); CRUDE OIL PRICES (68%); EXECUTIVES (66%); WEALTH MANAGEMENT (66%); HEATING OIL (62%); HOLIDAYS & OBSERVANCES (50%); DIETING (50%)
"By JESSE McKINLEY and CATHERINE SAINT LOUIS; Jesse McKinley reported from Albany, and Catherine Saint Louis from New York.","August 30, 2016 Tuesday",,"In Expansion, State's Medical Marijuana Program Will Offer Home Delivery",1077 words,The New York Times,Section A; Column 0; Metropolitan Desk; Pg. 16,,MARIJUANA (92%); MEDICAL MARIJUANA (92%); HEALTH DEPARTMENTS (90%); ILLEGAL DRUGS (90%); CANNABIS (90%); HERBAL MEDICINE (90%); DISEASES & DISORDERS (89%); NURSES & NURSING (89%); GOVERNORS (78%); CANCER (77%); MENTAL ILLNESS (76%); AIDS & HIV (73%); INTERVIEWS (72%); ALZHEIMER'S DISEASE (71%); EPILEPSY (71%); POST TRAUMATIC STRESS DISORDER (65%); MENTAL HEALTH (60%)
By ELISABETH MALKIN. Follow Elisabeth Malkin on Twitter @ElisabethMalkin .,"August 30, 2016 Tuesday",,Mexico Police Chief Is Fired After Report on 2015 Killings,464 words,The New York Times,Section A; Column 0; Foreign Desk; Pg. 8,,SPECIAL INVESTIGATIVE FORCES (91%); POLICE FORCES (91%); CONTROLLED SUBSTANCES CRIME (90%); CRIME RATES (90%); LAW ENFORCEMENT (90%); INVESTIGATIONS (89%); GANGS (89%); GENDARMERIE (78%); DISMISSALS (78%); APPOINTMENTS (78%); HOMICIDE (77%); NATIONAL SECURITY (74%); HUMAN RIGHTS (72%); ATTORNEYS GENERAL (72%); HUMAN RIGHTS ORGANIZATIONS (69%); VIOLENT CRIME STATISTICS (51%)
By NAILA-JEAN MEYERS,"August 30, 2016 Tuesday",,"Sans Roof, Nadal's Debut Is Open and Shut",197 words,The New York Times,Section B; Column 0; Sports Desk; Pg. 11,,TENNIS TOURNAMENTS (90%); STADIUMS & ARENAS (90%); PROFESSIONAL SPORTS (90%); TENNIS (90%); SPORTS (90%); SPORTS & RECREATION EVENTS (78%); INTERVIEWS (78%); SPORTS AWARDS (78%); TOURNAMENTS (77%); SPORTS FANS (73%); WOUNDS & INJURIES (68%); MUSCULOSKELETAL DISORDERS & INJURIES (68%)
By VANESSA FRIEDMAN,"August 30, 2016 Tuesday",,"MTV Video Music Awards Are the Anti-Oscars, and That's a Good Thing",644 words,The New York Times,Section ; Column 0; Style Desk; ON THE RUNWAY; Pg. ,,ENTERTAINMENT & ARTS AWARDS (92%); MUSIC (90%); ACADEMY AWARDS (90%); MUSIC INDUSTRY (90%); FASHION DESIGNERS (89%); FASHION & APPAREL (78%); RAP MUSIC (76%); CELEBRITIES (76%); FASHION DESIGN (73%); HIP HOP CULTURE (71%); SEPARATISM & SECESSION (50%)
By ANNE BARNARD. Follow Anne Barnard on Twitter @ABarnardNYT .,"August 30, 2016 Tuesday",,"Knowing the Risks, Some Syrian Rebels Seek a Lift From Turks' Incursion",1280 words,The New York Times,Section A; Column 0; Foreign Desk; Pg. 4,,REBELLIONS & INSURGENCIES (92%); ISLAMIC STATE IN IRAQ & THE LEVANT (91%); 2011 SYRIAN UPRISING (90%); MUSLIMS & ISLAM (90%); ARMIES (90%); RELIGION (90%); WAR & CONFLICT (90%); ARMED FORCES (90%); AL-QAEDA (89%); TERRORISM (89%); MILITARY AIRCRAFT (78%); TERRORIST ORGANIZATIONS (77%); INTERVIEWS (75%); INTELLIGENCE SERVICES (60%)
By RACHEL ABRAMS,"August 30, 2016 Tuesday",,A Back-to-School Divide,1112 words,The New York Times,Section B; Column 0; Business/Financial Desk; Pg. 1,,RETAILERS (91%); CLOTHING LABELS (90%); STUDENTS & STUDENT LIFE (90%); POOR POPULATION (89%); OFFICE SUPPLIES & EQUIPMENT (89%); FASHION DESIGNERS (89%); FAMILY (89%); LUXURY GOODS (89%); DISCOUNT & CLUB STORES (89%); DEPARTMENT STORES (78%); FURNITURE & HOME FURNISHINGS STORES (77%); STUDENT DEMOGRAPHICS (77%); SALES PROJECTIONS (77%); PRIMARY SCHOOLS (77%); RETAIL SALES (77%); SAME STORE SALES (77%); GENERAL MERCHANDISE STORES (77%); INCOME DISTRIBUTION (75%); LOW INCOME PERSONS (75%); CHRISTMAS (72%); TRENDS (72%); INDUSTRY ANALYSTS (67%); INTERVIEWS (67%); PUBLIC SCHOOLS (50%)
By AGENCE FRANCE-PRESSE,"August 30, 2016 Tuesday",,Olympics; Police Seize Sports Offices in Kuwait,109 words,The New York Times,Section B; Column 0; Sports Desk; SPORTS BRIEFING; Pg. 14,,SOCCER (91%); OLYMPICS (91%); OLYMPIC COMMITTEES (90%); SPORTS GOVERNING BODIES (90%); SPORTS & RECREATION (90%); SPORTS (90%); SOCCER TOURNAMENTS (90%); SPORTS & RECREATION EVENTS (88%); PROFESSIONAL SPORTS (88%); 2016 RIO SUMMER OLYMPICS (88%); CULTURE DEPARTMENTS (85%); SPORTS REGULATION & POLICY (85%)
By THE ASSOCIATED PRESS and BEN SHPIGEL,"August 30, 2016 Tuesday",,Football,316 words,The New York Times,Section B; Column 0; Sports Desk; SPORTS BRIEFING; Pg. 14,,AMERICAN FOOTBALL (92%); SPORTS (92%); ATHLETES (91%); SPORTS & RECREATION EVENTS (90%); MANAGERS & SUPERVISORS (73%); RESUMES & CURRICULA VITAE (70%)
,"August 30, 2016 Tuesday",,Broncos' New Passer Has No N.F.L. Attempts,551 words,The New York Times,Section B; Column 0; Sports Desk; SPORTS BRIEFING; Pg. 14,,AMERICAN FOOTBALL (92%); SPORTS (92%); ATHLETES (90%); SPORTS & RECREATION EVENTS (89%); BASEBALL (89%); STADIUMS & ARENAS (78%); MANAGERS & SUPERVISORS (73%); RESUMES & CURRICULA VITAE (70%)
By SAM BORDEN,"August 30, 2016 Tuesday",,"Please, Don't Read Into the Label",1648 words,The New York Times,Section B; Column 0; Sports Desk; Pg. 10,,SOCCER (90%); CELEBRITIES (78%); SPORTS & RECREATION (77%); SPORTS (77%); MANAGERS & SUPERVISORS (73%); SPORTS & RECREATION EVENTS (72%); FIFA WORLD CUP (72%); SOCCER TOURNAMENTS (72%); ATHLETES (67%); SOCIAL MEDIA (60%); INTERNET SOCIAL NETWORKING (60%); MARKETING & ADVERTISING (50%)
By SAPNA MAHESHWARI,"August 30, 2016 Tuesday",,"Endorsed by a Kardashian, but Is It Love or Just an Ad?",1155 words,The New York Times,Section A; Column 0; Business/Financial Desk; Pg. 1,,SOCIAL MEDIA (90%); CONSUMER LAW (89%); CONSUMERS (89%); MARKETING & ADVERTISING (89%); PRODUCT ENDORSEMENTS (89%); PHOTO & VIDEO SHARING (89%); INTERNET SOCIAL NETWORKING (78%); CONSUMER PROTECTION (74%); STREAMING MEDIA (73%); NONPROFIT ORGANIZATIONS (73%); TRADE PRACTICES & UNFAIR COMPETITION LAW (71%); FALSE OR MISLEADING ADVERTISING (71%); ASSOCIATIONS & ORGANIZATIONS (71%); CONSUMER WATCHDOGS (69%); LAWYERS (67%); COMMERCE DEPARTMENTS (51%)
By THE EDITORIAL BOARD,"August 30, 2016 Tuesday",,Cutting Ties to the Clinton Foundation,878 words,The New York Times,Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 20,,STATE DEPARTMENTS & FOREIGN SERVICES (90%); EDITORIALS & OPINIONS (90%); US PRESIDENTS (89%); CORPORATE GIVING (78%); ELECTIONS (78%); FOUNDATIONS (78%); US PRESIDENTIAL CANDIDATES 2016 (78%); BOARDS OF DIRECTORS (76%); CAMPAIGNS & ELECTIONS (76%); POLITICAL CANDIDATES (76%); CAMPAIGN FINANCE (76%); WOMAN OWNED BUSINESSES (70%); COMPANY STRUCTURES & OWNERSHIP (70%); AIDS & HIV TREATMENT (70%); CHILDREN (69%); WATER RESOURCES (69%); EARLY CHILDHOOD EDUCATION (69%); ANTIVIRALS (69%); ASSOCIATIONS & ORGANIZATIONS (69%); INVESTIGATIONS (66%); CONSULTING SERVICES (63%); DEMERGERS & SPINOFFS (63%); LIBRARIES (56%); AIDS & HIV (56%)
By KATHRYN SHATTUCK,"August 30, 2016 Tuesday",,What's on Tuesday,518 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 6,,ACADEMY AWARDS (90%); KIDNAPPING & ABDUCTION (90%); CELEBRITIES (90%); STREAMING MEDIA (89%); ENTERTAINMENT & ARTS AWARDS (78%); SOCIOLOGY (77%); TERRORISM (73%); NOVELS & SHORT STORIES (67%); METHAMPHETAMINE (50%)
By MIKE ISAAC; Daisuke Wakabayashi contributed reporting.,"August 30, 2016 Tuesday",,Uber and Alphabet's Rivalry Flares as Director Picks a Side,472 words,The New York Times,Section B; Column 0; Business/Financial Desk; Pg. 6,,BOARDS OF DIRECTORS (90%); EXECUTIVES (89%); AUTONOMOUS MOTOR VEHICLES (89%); HOLDING COMPANIES (89%); VENTURE CAPITAL (89%); AUTONOMOUS VEHICLES (88%); INTERVIEWS (78%); ENTREPRENEURSHIP (77%); PARENT COMPANIES (77%); COMPANY STRUCTURES & OWNERSHIP (77%)
By QUOCTRUNG BUI,"August 30, 2016 Tuesday",,How the Middle Class May Have Gotten a Raise,742 words,The New York Times,Section A; Column 0; National Desk; INCOMES AND OUTCOMES; Pg. 3,,CENSUS (92%); MIDDLE INCOME PERSONS (91%); PERSONAL & FAMILY INCOME (91%); HOUSEHOLD NUMBERS (90%); FAMILY (90%); ECONOMIC NEWS (89%); INFLATION (89%); PRICES (89%); US PRESIDENTIAL CANDIDATES 2016 (78%); POLLS & SURVEYS (78%); INCOME DISTRIBUTION (77%); LABOR SECTOR PERFORMANCE (77%); WAGES & SALARIES (77%); LABOR DEPARTMENTS (77%); AVERAGE EARNINGS (77%); OIL & GAS INDUSTRY (74%); STATISTICS (73%); BUSINESS & PROFESSIONAL ASSOCIATIONS (72%); US FEDERAL GOVERNMENT (71%); ECONOMIC POLICY (71%); PETROLEUM PRODUCTS (69%); POVERTY & HOMELESSNESS (66%); ENERGY & UTILITY SECTOR PERFORMANCE (65%); CARTELS (64%); OIL & GAS PRICES (64%); COMMODITIES PRICES (60%); HEALTH INSURANCE (51%); ASSOCIATIONS & ORGANIZATIONS (50%)
By NEIL MacFARQUHAR,"August 30, 2016 Tuesday",,"With Uzbekistan's Ruler Gravely Ill or Perhaps Dead, Questions Arise on Succession",1140 words,The New York Times,Section A; Column 0; Foreign Desk; Pg. 10,,INTERNET SOCIAL NETWORKING (89%); ELECTIONS (78%); LEGISLATIVE BODIES (78%); RELIGION (78%); INTERVIEWS (78%); HEADS OF GOVERNMENT ELECTIONS (78%); CAMPAIGNS & ELECTIONS (76%); PUBLIC BROADCASTING (75%); PUBLIC TELEVISION (74%); FORCED LABOR (72%); TELEVISION INDUSTRY (69%); ARMED FORCES (50%)
By JON CARAMANICA,"August 30, 2016 Tuesday",,A Showcase for Superstars,915 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; CRITIC'S NOTEBOOK; Pg. 1,,MUSIC INDUSTRY (91%); MUSIC (90%); SINGERS & MUSICIANS (90%); ENTERTAINMENT & ARTS AWARDS (90%); CELEBRITIES (90%); VIDEO INDUSTRY (89%); FILM (89%); POP & ROCK (89%); ARTISTS & PERFORMERS (78%)
By JOHN KOBLIN,"August 30, 2016 Tuesday",,Ratings Are No Hit for MTV Video Music Awards,225 words,The New York Times,Section ; Column 0; Business/Financial Desk; Pg. ,,MUSIC INDUSTRY (92%); ENTERTAINMENT & ARTS AWARDS (91%); MUSIC (90%); TELEVISION RATINGS & SHARES (90%); POP & ROCK (78%); CABLE TELEVISION (78%); EMMY AWARDS (78%); INTERNET SOCIAL NETWORKING (73%); ACADEMY AWARDS (73%); PARENT COMPANIES (72%)
